calle,comuna,altura_inicial,altura_final
AV.PRES.PEDRO MONTT,14,3502,3801
AV.PRESIDENTE JULIO A. ROCA,1,0,801
AV.RAUL SCALABRINI ORTIZ,14,1102,2501
AV.RAUL SCALABRINI ORTIZ,15,2,1101
AV.REGIMIENTO DE PATRICIOS,4,0,2001
AV.RIVERA INDARTE,7,0,2301
AV.RIVERA INDARTE,8,2702,3801
AV.RUIZ HUIDOBRO,12,0,4901
AV.SAENZ,4,0,1511
AV.SAN JUAN BAUTISTA DE LA SALLE,9,0,2501
AV.SAN MARTIN,0,0,6101
AV.SAN MARTIN,11,0,7501
AV.SAN MARTIN,15,0,3801
AV.SAN PEDRITO,7,2,701
AV.SANCHEZ DE LORIA,0,2002,2401
AV.SOLDADO DE LA FRONTERA,8,0,5601
AV.SUAREZ,4,1702,2701
AV.TOMAS A. EDISON,1,2,1401
AV.TOMAS A. EDISON,2,1402,3001
AV.TTE.GRAL.DONATO ALVAREZ,11,1802,2101
AV.TTE.GRAL.DONATO ALVAREZ,15,2102,2851
AV.VALENTIN ALSINA,0,0,1601
AV.VALENTIN ALSINA,13,0,1
AV.VALENTIN ALSINA,14,0,1
